0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,1,1,1,1
